Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
1_577;featurecode;860;Näkyvyys hyvin lyhyt (alle 10 m);Mycket liten (1-10 m);visibility very short (under 10 m);;
1_577;featurecode;861;Näkyvyys lyhyt (10-100 m);Liten (10-100 m);visibility short (10-100 m);;
1_577;featurecode;862;Näkyvyys avara (yli 100 m);Vidsträckt (över 100 m);visibility spacious (over 100 m);;
1_577;featurecode;870;Näkymä pohjoiseen;Mot norr;view to north;;
1_577;featurecode;871;Näkymä koilliseen;Mot nordost;view to northeast;;
1_577;featurecode;872;Näkymä itään;Mot öster;view to east;;
1_577;featurecode;873;Näkymä kaakkoon;Mot sydost;view to southeast;;
1_577;featurecode;874;Näkymä etelään;Mot söder;view to south;;
1_577;featurecode;875;Näkymä lounaaseen;Mot sydväst;view to southwest;;
1_577;featurecode;876;Näkymä länteen;Mot väster;view to west;;
1_577;featurecode;877;Näkymä luoteeseen;Mot nordväst;view to northwest;;
1_577;featurecode;878;Näkymä kaikkiin ilmansuuntiin;Mot alla väderstreck;view to all directions;;
1_577;featurecode;890;Peittää näkymän pohjoisen puoleisilta kuvioilta;Från figurerna på norra sidan;covers view of northern side stands;;
1_577;featurecode;891;Peittää näkymän koillisen puoleisilta kuvioilta;Från figurerna på nordöstra sidan;covers view of northeastern side stands;;
1_577;featurecode;892;Peittää näkymän idän puoleisilta kuvioilta;Från figurerna på östra sidan;covers view of eastern side stands;;
1_577;featurecode;893;Peittää näkymän kaakon puoleisilta kuvioilta;Från figurerna på sydöstra sidan;covers view of southeastern side stands;;
1_577;featurecode;894;Peittää näkymän etelän puoleisilta kuvioilta;Från figurerna på södra sidan;covers view of southern side stands;;
1_577;featurecode;895;Peittää näkymän lounaan puoleisilta kuvioilta;Från figurerna på sydvästra sidan;covers view of southwestern side stands;;
1_577;featurecode;896;Peittää näkymän lännen puoleisilta kuvioilta;Från figurerna på västra sidan;covers view of western side stands;;
1_577;featurecode;897;Peittää näkymän luoteen puoleisilta kuvioilta;Från figurerna på nordvästra sidan;covers view of northwestern side stands;;
1_577;featurecode;898;Peittää näkymän kaikista ilmansuunnista;Från alla väderstreck;covers view to all directions;;
1_577;featurecode;1001;Mäntyjä;Tallar;pines;;
1_577;featurecode;1002;Kuusia;Granar;spruces;;
1_577;featurecode;1003;Rauduskoivuja;Vårtbjörkar;silver birches;;
1_577;featurecode;1004;Hieskoivuja;Glasbjörkar;pubescent birch;;
1_577;featurecode;1005;Haapoja;Aspar;aspens;;
1_577;featurecode;1006;Harmaaleppiä;Gråalar;grey alders;;
1_577;featurecode;1007;Tervaleppiä;Klibbalar;black alders;;
1_577;featurecode;1010;Douglaskuusia;Douglasgranar;Douglas firs;;
1_577;featurecode;1011;Katajia;Enar;junipers;;
1_577;featurecode;1012;Kontortamäntyjä;Contortatallar;contorta pines;;
1_577;featurecode;1013;Kynäjalavia;Vresalmar;European White Elms;;
1_577;featurecode;1014;Lehtikuusia;Lärkträd;Larches;;
1_577;featurecode;1015;Metsälehmuksia;Skogslind;Small-leaved Lindens;;
1_577;featurecode;1016;Mustakuusia;Svartgranar;black spruces;;
1_577;featurecode;1017;Pajuja;Videbuskar;Willows;;
1_577;featurecode;1018;Pihlajia;Rönnar;rowans;;
1_577;featurecode;1019;Pihtoja;Ädelgranar;Firs;;
1_577;featurecode;1020;Raitoja;Sälgar;goat willows;;
1_577;featurecode;1021;Saarnia;Askar;European ashs;;
1_577;featurecode;1022;Sembramäntyjä;Cembratallar;Swiss pines;;
1_577;featurecode;1023;Serbiankuusia;Omorikagranar;Serbian Spruce;;
1_577;featurecode;1024;Tammia;Ekar;oaks;;
1_577;featurecode;1025;Tuomia;Häggar;Bird Cherrys, Hackberrys;;
1_577;featurecode;1026;Vaahteroita;Lönnar;Maples;;
1_577;featurecode;1027;Visakoivuja;Masurbjörkar;Carelian silver birches;;
1_577;featurecode;1028;Vuorijalavia;Skogsalmar;Scots elms;;
1_577;featurecode;1029;Hybridihaapoja;Hybridaspar;hybrid aspens;;
1_577;featurecode;1030;Havupuuaita;Barrträdshäck;coniferous tree fence;;
1_577;featurecode;1031;Huomattava havupuu;Betydande barrträd;outstanding coniferous tree;;
1_577;featurecode;1032;Huomattava lehtipuu;Betydande lövträd;outstanding deciduous tree;;
1_577;featurecode;1033;Lehtipuuaita;Lövträdshäck;deciduous tree fence;;
1_577;featurecode;1036;Halavia;Jolsterpilar;bay willows;;
1_577;featurecode;1040;Entinen maatalousmaa;Tidigare jordbruksmark;former agricultural land;;
1_577;featurecode;1041;Metsitettävä maatalousmaa;Jordbruksmark som skall beskogas;former agricultural land to reforest;;
1_577;featurecode;1042;Kunttainen;Mårtäkt;mory;;
1_577;featurecode;1043;Osittain soistunut;Delvis försumpat;partly swampy;;
1_577;featurecode;1044;Ranta soistunut;Stranden försumpad;bank swampy;;
1_577;featurecode;1045;Osittain turvemaata;Delvis torvmark;partly peatland;;
1_577;featurecode;1046;Osittain kivennäismaata;Delvis mineraljord;partly mineral soil;;
1_577;featurecode;1047;Eri-ikäinen metsä;Olikåldrigt bestånd;uneven-aged forest;;
1_577;featurecode;1048;Epätasainen, aukkoinen metsä;Ojämnt bestånd;uneven, holey forest;;
1_577;featurecode;1050;Savenottomahdollisuus;Möjlighet till lertäkt;clay excavation possible;;
1_577;featurecode;1051;Soistuneita painanteita;Försumpade svackor;swampy depressions;;
1_577;featurecode;1052;Soranottomahdollisuus;Möjlighet till grustäkt;gravel excavation possible;;
1_577;featurecode;1053;Turpeennostomahdollisuus;Möjlighet till torvtäkt;peat excavation possible;;
1_577;featurecode;1060;Kuviolla leimikko, leimattu puusto ei ole mukana laskelmissa;Stämpling på figuren, det stämplade beståndet ingår inte i beräkningarna;Stand waits for timber trade or loggin, removeable timber does not include to countings;;
1_577;featurecode;1061;Rajalinjat tukossa;Råarna är inte upphuggna;border line uncleared;;
1_577;featurecode;1070;Pystykarsittu metsikkö;Stamkvistat bestånd;branched forest;;
1_577;featurecode;1071;Hakkuutähteet kerätty;Hyggesrester tagits tillvara;logging residues gathered;;
1_577;featurecode;1072;Tarkkailtava uudistusala;Förnyelseyta som bör följas upp;regeneration area under observation;;
1_577;featurecode;1080;Erikoispuuta;Specialsortiment;special assortment;;
1_577;featurecode;1081;Haapatukkipuita;Asptimmerstammar;aspen logs;;
1_577;featurecode;1082;Hyvälaatuisia tukkipuita;Timmerstammar av hög kvalitet;good quality logs;;
1_577;featurecode;1083;Lehtikuusitukkipuita;Timmerstammar av lärk;Larch logs;;
1_577;featurecode;1084;Leppätukkipuita;Timmerstammar av al;alder logs;;
1_577;featurecode;1085;Liimapalkkipuita;Träd för limbalkar;gluebeamtrees;;
1_577;featurecode;1086;Pahkapuita;Knölstammar;bur trees;;
1_577;featurecode;1087;Parruaihioita;Sparrämnen;square-sawn timber billets;;
1_577;featurecode;1088;Puusepänteollisuuden puuta;Träd för snickeriindustrin;carpenter industry wood;;
1_577;featurecode;1089;Pylväspuita;Stolpstammar;pole trees;;
1_577;featurecode;1090;Soitinpuuta;Instrumentvirke;musical instrument wood;;
1_577;featurecode;1091;Sorvityviä;Svarvstock;peeler baulk;;
1_577;featurecode;1092;Venelautapuita;Båtvirke;boat plank trees;;
1_577;featurecode;1093;Hirsiaihioita;Stam som lämpar sig för rundstock;fess billets;;
1_577;featurecode;1094;Hyvälaatuista mäntytukkia;Talltimmer av hög kvalitet;good quality pine logs;;
1_577;featurecode;1095;Hyvälaatuista kuusitukkia;Grantimmer av hög kvalitet;good quality spruce logs;;
1_577;featurecode;1096;Hyvälaatuista koivutukkia;Björktimmer av hög kvalitet;good quality birch logs;;
1_577;featurecode;1097;Hyvälaatuista muuta havutukkia;Annat barrtimmer av hög kvalitet;good quality other coniferous logs;;
1_577;featurecode;1098;Hyvälaatuista muuta lehtitukkia;Annat lövtimmer av hög kvalitet;good quality other decituous logs;;
1_577;featurecode;1100;Erikoisrakenteita;Specialkonstruktioner;special structures;;
1_577;featurecode;1101;Aita;Stängsel;Fence;;
1_577;featurecode;1102;Koeala;Provyta;sampling plot;;
1_577;featurecode;1103;Metsästyslava;Jakttorn;huntig tower;;
1_577;featurecode;1104;Nuolukivi;Slicksten;Lick block;;
1_577;featurecode;1105;Poroerotuspaikka;Renskiljningsplats;reindeer separation place;;
1_577;featurecode;1200;Sora;Grus;gravel;;
1_577;featurecode;1201;Hiekka;Sand;sand;;
1_577;featurecode;1202;Hieta;Mo;fine sand;;
1_577;featurecode;1203;Hiesu;Mjäla;loam, silt;;
1_577;featurecode;1204;Savi;Lera;clay;;
1_577;featurecode;1205;Soramoreeni;Grusmorän;gravel moraine;;
1_577;featurecode;1206;Hiekkamoreeni;Sandmorän;sand moraine;;
1_577;featurecode;1207;Hietamoreeni;Moig morän;fine sand moraine;;
1_577;featurecode;1208;Hiesu- ja savimoreeni;Mjälig morän;silt moraine;;
1_577;featurecode;1209;Heikosti maatunut turve;Svagt förmultnad torv;weakly decomposed peat;;
1_577;featurecode;1210;Keskinkertaisesti maatunut turve;Medelförmultnad torv;mediocre decomposed peat;;
1_577;featurecode;1211;Vahvasti maatunut turve;Kraftigt förmultnad torv;greatly decomposed peat;;
1_577;featurecode;1220;Eroosioherkkyys pieni;Erosionkänslighet obetydlig;minor erodibility;;
1_577;featurecode;1221;Eroosioherkkyys keskinkertainen;Erosionkänslighet medelmåttig;mediocre erodibility;;
1_577;featurecode;1222;Eroosioherkkyys suuri;Erosionkänslighet betydlig;strog erodibility;;
1_577;featurecode;1230;Pohjamaalaji hieno;Bottenmarkens jordart fin;bottom soil fine;;
1_577;featurecode;1231;Pohjamaalaji keskikarkea;Bottenmarkens jordart medelgrov;bottom soil medium grade;;
1_577;featurecode;1232;Pohjamaalaji karkea;Bottenmarkens jordart grov;bottom soil rough;;
1_577;featurecode;1400;Aluesuunnittelun välialue;Mellanområde i områdesplaneringen;regional planning midle space;;
1_577;featurecode;1401;Lumiseen aikaan suunniteltu;Snötäcke vid planeringstidpunkten;Planed at snowy period;;
1_577;featurecode;1410;ML-/YML-tarkastuskohde;Granskningsobjekt enligt skogslagen;Forestry Act inspection target;;
1_577;featurecode;1411;Kemera- / MPL-tarkastuskohde;Granskningsobjekt enligt finansieringslagen;Act on the Financing of Sustainable Forestry inspection target;;
1_577;featurecode;1412;Ennakkopäätös metsälain tärkeästä elinympäristöstä;Förhandsbesked om särskilt viktig livsmiljö enligt skogslagen;precedent of special valuable habitat of forestry act;;
1_577;featurecode;1500;Hallatuho;Frostskada;frost damage;;
1_577;featurecode;1501;Lumituho;Snöskada;snow damage;;
1_577;featurecode;1502;Kuivuuden aiheuttama tuho;Skada förorsakad av torka;dryness damage;;
1_577;featurecode;1503;Metsäpalo;Skogsbrand;forest fire;;
1_577;featurecode;1504;Myrskytuho;Stormskada;storm damage;;
1_577;featurecode;1505;Pakkashalkeamien aiheuttama tuho;Frostsprickor;frost cracking damage;;
1_577;featurecode;1506;Routatuho;Tjälskador;ground frost damage;;
1_577;featurecode;1507;Salaman aiheuttama tuho;Skada förorsakad av blixt;lightning damage;;
1_577;featurecode;1508;Tulvavesituho;Översvämningsskada;flood damage;;
1_577;featurecode;1509;Tuulen aiheuttama tuho;Skada förorsakad av vind;fire damage;;
1_577;featurecode;1530;Ravinnetalouden häiriö;Näringsobalans;nutrient balance disturbance;;
1_577;featurecode;1531;Boorinpuutos;Borbrist;boron deficit;;
1_577;featurecode;1532;Fosforinpuutos;Fosforbrist;phosphorus deficit;;
1_577;featurecode;1533;Kalinpuutos;Kaliumbrist;potassium deficit;;
1_577;featurecode;1534;Kalsiuminpuutos;Kalciumbrist;calcium deficit;;
1_577;featurecode;1535;Magnesiuminpuutos;Magnesiumbrist;magnesium deficit;;
1_577;featurecode;1549;Muu luonnontuho;Annan naturskada;other natural damage;;
1_577;featurecode;1550;Sienituho;Svampskada;fungus damage;;
1_577;featurecode;1551;Karistesienten aiheuttama tuho;Skador förorsakade av skyttesvamp;blight fungus damage;;
1_577;featurecode;1552;Kuusensuopursuruosteen aiheuttama tuho;Skador förorsakade av granens getporsrost;damage by spruce needle rust;;
1_577;featurecode;1553;Kuusen tyvilahon aiheuttama tuho;Skador förorsakade av rotröta hos gran;spruce stump rot damage;;
1_577;featurecode;1554;Männynkäävän aiheuttama tuho;Skador förorsakade av tallticka;Pine heterobasidion fungus damage;;
1_577;featurecode;1555;Männynlumihomeen aiheuttama tuho;Skada förorsakad av snöskytte;Pine white snow blight damage;;
1_577;featurecode;1556;Männynversoruosteen aiheuttama tuho;Skada förorsakad av knäckesjuka;Pine shoot rust damage;;
1_577;featurecode;1557;Männynversosurman aiheuttama tuho;Skada förorsakad av knopp- och grentorka;Pine brunchorstia disease;;
1_577;featurecode;1558;Männyn tyvitervastaudin aiheuttama tuho;Skador förorsakade av rotröta hos tall;Pine annosus root-rot;;
1_577;featurecode;1559;Pakurikäävän aiheuttama tuho;Skada förorsakad av sprängticka;chaga mushroom damage;;
1_577;featurecode;1560;Tervasroson aiheuttama tuho;Skada förorsakad av törskate;Scots pine blister rust;;
1_577;featurecode;1600;Hyönteistuho;Insektskada;damage by insects;;
1_577;featurecode;1601;Hevosmuurahaisten aiheuttama tuho;Skador förorsakade av hästmyror;damage by black carpenter ant;;
1_577;featurecode;1602;Kirjanpainajan aiheuttama tuho;Skador förorsakade av granbarkborre;damage by engraver beetle;;
1_577;featurecode;1603;Koivun mantokuoriaisen aiheuttama tuho;Skador förorsakade av björksplintborre;damage by birch sapwood borer;;
1_577;featurecode;1604;Koivun ruskotäpläkärpäsen aiheuttama tuho;Skador förorsakade av björkbastfluga;damage by birch cambium fly;;
1_577;featurecode;1605;Lehtikärsäkkään aiheuttama tuho;Skador förorsakade av lövvivlar;damage by green Weevil;;
1_577;featurecode;1606;Monikirjaajien aiheuttama tuho;Skador förorsakade av bastborrar;damage by small spruce bark beetle;;
1_577;featurecode;1607;Mäntymittarin aiheuttama tuho;Skador förorsakade av tallmätare;damage by pine looper moth;;
1_577;featurecode;1608;Mäntypistiäisten aiheuttama tuho;Skador förorsakade av tallstekel;damage by european pine sawfly;;
1_577;featurecode;1609;Pihkakääriäisten aiheuttama tuho;Skador förorsakade av hartsgallvecklare;damage by Pine Resin-gall Moth;;
1_577;featurecode;1610;Punalatikan aiheuttama tuho;Skador förorsakade av tallbarkstinkfly;damage by pine bark bug;;
1_577;featurecode;1611;Tukkimiehentäin aiheuttama tuho;Skador förorsakade av snytbagge;damage by large pine weevil;;
1_577;featurecode;1612;Ukkonilurin aiheuttama tuho;Skador förorsakade av jättebastborre;damage by Great Spruce Bark Beetle);;
1_577;featurecode;1613;Ytimennävertäjien aiheuttama tuho;Skador förorsakade av märgborrar;damage by pine shoot beetle;;
1_577;featurecode;1650;Hirvituho;Älgskador;moose damage;;
1_577;featurecode;1651;Jäniksen aiheuttama tuho;Skador förorsakade av hare;hare damage;;
1_577;featurecode;1652;Kauriin aiheuttama tuho;Skador förorsakade av rådjur;damage by roes;;
1_577;featurecode;1653;Kotieläimen aiheuttama tuho;Skador förorsakade av husdjur;damage by domestic animal;;
1_577;featurecode;1654;Lintujen aiheuttama tuho;Skador förorsakade av fåglar;damage by birds;;
1_577;featurecode;1655;Majavatuho;Skada förorsakad av bäver;beaver damage;;
1_577;featurecode;1656;Myyrätuho;Sorkskador;vole damage;;
1_577;featurecode;1657;Oravan aiheuttama tuho;Skador förorsakade av ekorre;damage by squirrel;;
1_577;featurecode;1658;Peurojen aiheuttama tuho;Skador förorsakade av hjort;damage by deeres;;
1_577;featurecode;1659;Porojen aiheuttama tuho;Skador förorsakade av ren;damage by reindeers;;
1_577;featurecode;1699;Muu eläimen aiheuttama tuho;Andra av djur förorsakade skador;other damage by animal;;
1_577;featurecode;1700;Puusto harsuuntunut;Barrutglesning;needle loss trees;;
1_577;featurecode;1701;Puustossa epifyyttejä ja jäkälää;Epifyter och lav i trädbeståndet;epiphytes and lichen on trees;;
1_577;featurecode;1750;Heinän aiheuttama taimikkotuho;Skador på plantbeståndet förorsakade av gräsuppslag;Damage by hay in recently planted forest;;
1_577;featurecode;1751;Kemiallisen torjunnan aiheuttama tuho;Skador förorsakade av kemisk bekämpning;damage by cemical pestiside or herbicide;;
1_577;featurecode;1752;Korjuuvaurio;Drivningsskador;logging damage;;
1_577;featurecode;1753;Piiskaantumisen aiheuttama tuho;Skador förorsakade av piskning;whipping damage;;
1_577;featurecode;1754;Turkistarhauksen aiheuttama tuho;Skador förorsakade av pälsfarmning;damage by fur production;;
1_577;featurecode;1755;Vesakon aiheuttama taimikkotuho;Skador förorsakade av sly;damage by coppice;;
1_577;featurecode;1756;Ylitiheyden aiheuttama tuho;Skador förorsakade av övertäthet;damage by overstocking;;
1_577;featurecode;1798;Muu ihmisen aiheuttama tuho;Andra av människan förorsakade skador;other damage by human being;;
1_577;featurecode;1799;Muu kasvien aiheuttama tuho;Andra av växtligheten förorsakade skador;other damage by plants;;
1_577;featurecode;2000;Alli;Alfågel;Long-tailed duck;Clangula hyemalis;
1_577;featurecode;2001;Fasaani;Fasan;Common pheasant;Phasianus colchicus;
1_577;featurecode;2002;Haahka;Ejder;Common eider;Somateria mollissima;
1_577;featurecode;2003;Haapana;Bläsand;Eurasian wigeon;Anas penelope;
1_577;featurecode;2004;Halli;Gråsäl;Grey seal;Halichoerus grypus;
1_577;featurecode;2005;Hanhi;Gås;;;
1_577;featurecode;2006;Hilleri;Iller;Western polecat;Mustela putorius;
1_577;featurecode;2007;Hirvi;Älg;Elk;Alces alces;
1_577;featurecode;2008;Heinäsorsa;Gräsand;;;
1_577;featurecode;2009;Heinätavi;Årta;Garganey;Anas querquedula;
1_577;featurecode;2010;Isokoskelo;Storskrake;Goosander;Mergus merganser;
1_577;featurecode;2011;Japaninpeura;Sikahjort;Sika deer;Cervus nippon;
1_577;featurecode;2012;Jouhisorsa;Stjärtand;Northern pintail;Anas acuta;
1_577;featurecode;2013;Kanadanhanhi;Kanadagås;Canada goose;Branta canadensis;
1_577;featurecode;2014;Kanadanmajava;Kanadensisk bäver;Canadian beaver;Castor canadensis;
1_577;featurecode;2015;Kettu;Rödräv;Red fox;Vulpes vulpes;
1_577;featurecode;2016;Kiiruna;Fjällripa;Rock ptarmigan;Lagopus mutus;
1_577;featurecode;2017;Kirjohylje;Knubbsäl;Common seal;Phoca vitulina;
1_577;featurecode;2018;Kuusipeura;Dovhjort;Fallow deer;Dama dama;
1_577;featurecode;2019;Kärppä;Hermelin;Stoat;Mustela erminea;
1_577;featurecode;2020;Lapasorsa;Skedand;Northern shoveler;Anas clypeata;
1_577;featurecode;2021;Lehtokurppa;Morkulla;Eurasian woodcock;Scolopax rusticola;
1_577;featurecode;2022;Minkki;Mink;American mink;Neovison vison;
1_577;featurecode;2023;Merihanhi;Grågås;Greylag goose;Anser anser;
1_577;featurecode;2024;Metso;Tjäder;Western capercaillie;Tetrao urogallus;
1_577;featurecode;2025;Metsähanhi;Sädgås;Bean goose;Anser fabalis;
1_577;featurecode;2026;Metsäjänis;Skogshare;Arctic hare;Lepus timidus;
1_577;featurecode;2027;Metsäkanalinnut;Skogshönsfåglar;;;
1_577;featurecode;2028;Metsäkauris;Rådjur;Roe deer;Capreolus capreolus;
1_577;featurecode;2029;Mufloni;Mufflon;Mouflon;Ovis ammon;
1_577;featurecode;2030;Mäyrä;Grävling;Badger;Meles meles;
1_577;featurecode;2031;Nokikana;Sothöna;Common coot;Fulica atra;
1_577;featurecode;2032;Näätä;Skogsmård;Pine marten;Martes martes;
1_577;featurecode;2033;Orava;Ekorre;Red squirrel;Sciurus vulgaris;
1_577;featurecode;2034;Pesukarhu;Tvättbjörn;Raccoon;Procyon lotor;
1_577;featurecode;2035;Peura;Skogsvildren;;;
1_577;featurecode;2036;Piisami;Bisamråtta;Muskrat;Ondatra zibethicus;
1_577;featurecode;2037;Punasotka;Brunand;Common pochard;Aythya ferina;
1_577;featurecode;2038;Pyy;Järpe;Hazel grouse;Tetrastes bonasia;
1_577;featurecode;2039;Riekko;Dalripa;Willow grouse;Lagopus lagopus;
1_577;featurecode;2040;Rusakko;Fälthare;Brown hare;Lepus europaeus;
1_577;featurecode;2041;Rämemajava;Sumpbäver;Coypu;Myocastor coypus;
1_577;featurecode;2042;Saksanhirvi;Kronhjort;Red deer;Cervus elaphus;
1_577;featurecode;2043;Sepelkyyhky;Ringduva;Woodpigeon;Columba palumbus;
1_577;featurecode;2044;Supikoira;Mårdhund;Raccoon dog;Nyctereutes procyonoides;
1_577;featurecode;2045;Tavi;Kricka;Common teal;Anas crecca;
1_577;featurecode;2046;Teeri;Orre;Eurasian black grouse;Lyrurus tetrix;
1_577;featurecode;2047;Telkkä;Knipa;Common goldeneye;Bucephala clangula;
1_577;featurecode;2048;Tukkakoskelo;Småskrake;Red-breasted merganser;Mergus serrator;
1_577;featurecode;2049;Tukkasotka;Vigg;Tufted duck;Aythya fuligula;
1_577;featurecode;2050;Valkohäntäpeura;Vitsvanshjort;White-tailed deer;Odocoileus virginianus;
1_577;featurecode;2051;Villikani;Vildkanin;Rabbit;Oryctolagus cuniculus;
1_577;featurecode;2052;Villisika;Vildsvin;Wild boar;Sus scrofa;
1_577;featurecode;2100;Huuhkaja;Berguv;;;
1_577;featurecode;2101;Kanahaukka;Duvhök;;;
1_577;featurecode;2102;Koivuhiiri;Buskmus; ;Sicista betulina;
1_577;featurecode;2103;Kurki;Trana;;;
1_577;featurecode;2104;Maamyyrä;Mullvad;;;
1_577;featurecode;2105;Majava;Bäver;;;
1_577;featurecode;2106;Muurahaisia;Myror;;;
1_577;featurecode;2107;Poro;Ren;;;
1_577;featurecode;2108;Päästäinen;Näbbmus;;;
1_577;featurecode;2109;Rantakäärme;Snok; ;Natrix natrix;
1_577;featurecode;2110;Vaskitsa;Ormslå; ;Anguis fragilis;
1_577;featurecode;2111;Vesilinnut;Vattenfåglar;;;
1_577;featurecode;2112;Vesilisko;Vattenödla; ;Triturus vulgaris;
1_577;featurecode;2113;Viitasammakko;Åkergroda; ;Rana arvalis;
1_577;featurecode;2114;Haukat;Hökartade rovfåglar;;;
1_577;featurecode;2115;Hiirihaukka;Ormvråk;;;
1_577;featurecode;2116;Mehiläishaukka;Bivråk;;;
1_577;featurecode;2117;Piekana;Fjällvråk;;;
1_577;featurecode;2118;Pöllöt;Ugglor;;;
1_577;featurecode;2119;Lapinpöllö;Lappuggla;;;
1_577;featurecode;2120;Lehtopöllö;Kattuggla;;;
1_577;featurecode;2121;Viirupöllö;Slaguggla;;;
1_577;featurecode;3000;Etelänsuosirri;Sydlig kärrsnäppa;;;
1_577;featurecode;3001;Heinäkurppa;Dubbelbeckasin;;;
1_577;featurecode;3002;Kangaskiuru;Trädlärka;;;
1_577;featurecode;3003;Kiljuhanhi;Fjällgås;;;
1_577;featurecode;3004;Kiljukotka;Större skrikörn;;;
1_577;featurecode;3005;Kotka;Kungsörn;;;
1_577;featurecode;3006;Lapasotka;Bergand;;;
1_577;featurecode;3007;Merikotka;Havsörn;;;
1_577;featurecode;3008;Muuttohaukka;Pilgrimsfalk;;;
1_577;featurecode;3009;Rantakurvi;Tereksnäppa;;;
1_577;featurecode;3010;Ruisrääkkä;Kornknarr;;;
1_577;featurecode;3011;Räyskä;Skräntärna;;;
1_577;featurecode;3012;Tunturihaukka;Jaktfalk;;;
1_577;featurecode;3013;Tunturikiuru;Berglärka;;;
1_577;featurecode;3014;Tunturipöllö;Fjälluggla;;;
1_577;featurecode;3015;Valkoselkätikka;Vitryggig hackspett;;;
1_577;featurecode;3016;Haarahaukka;Haarahaukka;;;
1_577;featurecode;3017;Kultasirkku;Kultasirkku;;;
1_577;featurecode;3018;Käenpiika;Käenpiika;;;
1_577;featurecode;3019;Liejukana;Liejukana;;;
1_577;featurecode;3020;Merisirri;Merisirri;;;
1_577;featurecode;3021;Mustapyrstökuiri;Mustapyrstökuiri;;;
1_577;featurecode;3022;Mustatiira;Mustatiira;;;
1_577;featurecode;3023;Naurulokki;Naurulokki;;;
1_577;featurecode;3024;Pikkutiira;Pikkutiira;;;
1_577;featurecode;3025;Rastaskerttunen;Rastaskerttunen;;;
1_577;featurecode;3026;Sinipyrstö;Sinipyrstö;;;
1_577;featurecode;3027;Tiltaltti;Tiltaltti;;;
1_577;featurecode;3100;Ahma;Järv;Wolverine;Gulo gulo;
1_577;featurecode;3101;Harmaahylje;Gråsäl; ;Halichoerus grypus;
1_577;featurecode;3102;Naali;Fjällräv; ;Alopex lagopus;
1_577;featurecode;3103;Saimaannorppa;Saimensäl; ;Phoca hispida saimensis;
1_577;featurecode;3104;Susi;Varg;Wolf;Canis lupus;
1_577;featurecode;3105;Tammihiiri;Trädgårdssovare;;;
1_577;featurecode;3150;Kangaskäärme;Hasselsnok; ;Coronella austriaca;
1_577;featurecode;3151;Rupilisko;Större vattensalamander; ;Triturus cristatus;
1_577;featurecode;3152;Rantakäärme;Rantakäärme; ;Natrix natrix;
1_577;featurecode;3200;Harjusinisiipi;Batonblåvinge; ;Scolitantides vicrama;
1_577;featurecode;3201;Hierakkalehtimittari;Strandlövmätare;;;
1_577;featurecode;3202;Isoapollo;Apollofjäril; ;Parnassius apollo;
1_577;featurecode;3203;Isokultasiipi;Stor guldvinge; ;Lycaena dispar;
1_577;featurecode;3204;Juovapunatäpläperhonen;Smalsprötad bastardsvärmare;;;
1_577;featurecode;3205;Kalliosinisiipi;Fetörtsblåvinge; ;Scolitantides orion;
1_577;featurecode;3206;Kirjopapurikko;Dårgräsfjäril; ;Lopinga achine;
1_577;featurecode;3207;Koukerokoisa;Bokstavsmott;;;
1_577;featurecode;3208;Kurhokoi;Spåtistelkorgmal;;;
1_577;featurecode;3209;Laukkaneilikkakoi;Triftfilosofmal;;;
1_577;featurecode;3210;Lehtohopeatäplä;Amathusias pärlemorfjäril; ;Boloria titania;
1_577;featurecode;3211;Lehtovähämittari;Krönt malätare;;;
1_577;featurecode;3212;Maitiaiskehrääjä;Mjölkörtsspinnare;;;
1_577;featurecode;3213;Malikaapuyökkönen;Absintkapuschongfly;;;
1_577;featurecode;3214;Metsäomenankehrääjäkoi;Hagtornsspinnmal;;;
1_577;featurecode;3215;Muurahaissinisiipi;Svartfläckig blåvinge; ;Glaucopsyche arion;
1_577;featurecode;3216;Naavamittari;Skägglavmätare;;;
1_577;featurecode;3217;Neidonkielikoisa;Tandmott; ;Cynaeda dentalis;
1_577;featurecode;3218;Nuokkukohokkikoi;Backglimgallmal;;;
1_577;featurecode;3219;Raunikkikoi;Såpörtmal;;;
1_577;featurecode;3220;Ruiskaunokkikoi;Blåklintplattmal;;;
1_577;featurecode;3221;Ruokohämy-yökkönen;Gulgrått stråfly;;;
1_577;featurecode;3222;Sauramomykerökoi;Färgkullekorgmal;;;
1_577;featurecode;3223;Tummaverkkoperhonen;Kovetenätfjäril; ;Melitaea diamina;
1_577;featurecode;3224;Varjotäpläkoi;Skuggsorgmal; ;Ethmia terminella;
1_577;featurecode;3225;Vasmayökkönen;Treuddtecknat aftonfly;;;
1_577;featurecode;3226;Viherjäkäläyökkönen;Barrskogslavfly;;;
1_577;featurecode;3300;Palosirkka;Trumgräshoppa;;;
1_577;featurecode;3301;Ruususiipisirkka;Rosenvingad gräshoppa;;;
1_577;featurecode;3302;Sinisiipisirkka;Blåvingad gräshoppa;;;
1_577;featurecode;3303;Hietahepokatti;Hietahepokatti;;;
1_577;featurecode;3350;Aarnilahopuukärpänen;Urskogsvedfluga;;;
1_577;featurecode;3351;Aarnisääski;Smalbandad urskogsmygga;;;
1_577;featurecode;3352;Erakkolahopuukärpänen;Eremitvedfluga;;;
