Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
619;standquality;33;Kehityskelvoton: kasvupaikalle metsänhoidollisesti sopimaton puulaji;Icke utvecklingsduglig: för ståndorten olämpligt trädslag;;;
619;standquality;34;Kehityskelvoton: yli-ikäinen;Icke utvecklingsduglig: överårigt;;;
619;standquality;35;Kehityskelvoton: huonokasvuinen, harsittu, jätemetsikkö;Icke utvecklingsduglig: dålig tillväxt, blädat, restskog;;;
619;standquality;36;Kehityskelvoton: tuhometsikkö;Icke utvecklingsduglig: skadat bestånd;;;
622;maintreespecies;1;Mänty;Tall;Pine;Pinus sylvestris;
622;maintreespecies;2;Kuusi;Gran;Spruce;Picea abies;
622;maintreespecies;3;Rauduskoivu;Vårtbjörk;Silver birch;Betula pendula;
622;maintreespecies;4;Hieskoivu;Glasbjörk;Downy birch;Betula pubescens;
622;maintreespecies;5;Haapa;Asp;Asp;Populus tremula;
622;maintreespecies;6;Harmaaleppä;Gråal;Grey alder;Alnus incana;
622;maintreespecies;7;Tervaleppä;Klibbal;Black alder;Alnus glutinosa;
622;maintreespecies;8;Muu havupuu;Annat barrträdslag;Other coniferous tree; ;
622;maintreespecies;9;Muu lehtipuu;Annat lövträdslag;Other deciduous tree; ;
622;maintreespecies;10;Douglaskuusi;Douglasgran;Oregon pine;Pseudotsuga menziesii;
622;maintreespecies;11;Kataja;En;Common juniper;Juniperus communis;
622;maintreespecies;12;Kontortamänty;Contortatall;Contorta pine;Pinus contorta;
622;maintreespecies;13;Kynäjalava;Vresalm;European white elm;Ulmus laevis;
622;maintreespecies;14;Lehtikuusi;Lärkträd;Larch;Larix sibirica/Larix decidua;
622;maintreespecies;15;Metsälehmus;Skogslind;Small-leaved lime;Tilia cordata;
622;maintreespecies;16;Mustakuusi;Svartgran;Black spruce;Picea mariana;
622;maintreespecies;17;Paju;Vide;Willow;Salix sp.;
622;maintreespecies;18;Pihlaja;Rönn;Rowan;Sorbus aucuparia;
622;maintreespecies;19;Pihta;Pichtagran;Fir;Abies sibirica;
622;maintreespecies;20;Raita;Sälg;Goat willow;Salix caprea;
622;maintreespecies;21;Saarni;Ask;Ash;Fraxinus excelsior;
622;maintreespecies;22;Sembramänty;Cembratall;Swiss pine;Pinus cembra;
622;maintreespecies;23;Serbiankuusi;Omorikagran;Serbian spruce;Picea omorika;
622;maintreespecies;24;Tammi;Ek;Oak;Quercus robur;
622;maintreespecies;25;Tuomi;Hägg;Bird cherry;Prunus padus;
622;maintreespecies;26;Vaahtera;Lönn;Maple;Acer platanoides;
622;maintreespecies;27;Visakoivu;Masurbjörk;Curly birch;Betula pendula var. carelica;
622;maintreespecies;28;Vuorijalava;Skogsalm;Scots elm;Ulmus glabra;
622;maintreespecies;29;Lehtipuu;Lövträd;Deciduous tree; ;
622;maintreespecies;30;Havupuu;Barrträd;Coniferous tree; ;
628;restrictioncode;0;Ei rajoituksia;Inga begränsningar;;;
628;restrictioncode;1;Ei ylispuidenpoistoa;Ingen avverkning av överståndare;;;
628;restrictioncode;2;Ei ensiharvennuksia;Inga första gallringar;;;
628;restrictioncode;3;Ei harvennushakkuita;Inga gallringar;;;
628;restrictioncode;4;Ei kasvatushakkuita;Inga beståndsvårdande avverkningar;;;
628;restrictioncode;5;Ei avohakkuuta;Inga kalavverkningar;;;
628;restrictioncode;6;Ei suojuspuuhakkuuta;Inga avverkningar i skärmställning;;;
628;restrictioncode;7;Ei siemenpuuhakkuuta;Inga avverkningar i fröträdsställning;;;
628;restrictioncode;8;Ei uudistushakkuuta;Inga förnyelseavverkningar;;;
628;restrictioncode;9;Ei hakkuita;Inga avverkningar;;;
631;restrictioncode;0;Ei rajoituksia;Inga begränsningar;;;
631;restrictioncode;3;Ei viljelyä;Ej skogsodling;;;
631;restrictioncode;5;Ei maanmuokkausta;Ej markberedning;;;
631;restrictioncode;6;Ei ojitusta;Ej dikning;;;
631;restrictioncode;7;Ei maa-ainestenottoa;Ej marktäkt;;;
631;restrictioncode;9;Ei metsänhoitotöitä;Inga skogsvårdsarbeten;;;
631;restrictioncode;10;Ei kannonnostoa;Ej stubbrytning;;;
625;accessibility;1;Ympärivuotinen;Hela året;All-year available;;
625;accessibility;2;Myös sulan maan, mutta ei kelirikon aikana;Även under barmark, men inte under menföre;With melt soil but not during possible frost damage;;
625;accessibility;3;Myös sulan maan aikana kuivana kautena;Även under barmark under torra perioder;Also smelt ground, but not rasputitsa;;
625;accessibility;4;Vain kun maa on jäässä;Endast vid tjäle;Only when soil is frozen;;
625;accessibility;5;Ei määritelty;Ej specifiserad;Not defined;;
661;restrictiontype;1;Toimenpiteen päälaji: hakkuu.;Åtgärdens huvudslag: avverkning;Cutting;;
661;restrictiontype;2;Toimenpiteen päälaji: metsänhoito.;Åtgärdens huvudslag: skogsvård;Silviculture;;
622_634;treespecies;1;Mänty;Tall;Pine;Pinus sylvestris;
622_634;treespecies;2;Kuusi;Gran;Spruce;Picea abies;
